Symbol,Desc,insCode,insID,groupCode
خكمك,كمك‌فنرايندامين‌,19257295292088310,IRO1INDM0001,34 
تايرا,تراكتورسازي‌ايران‌,19298748452450329,IRO1TRIR0001,29 
خبازرس,بازرسي مهندسي و صنعتي ايران,19310456400689867,IRO7IEIP0001,71 
وهامون,سرمايه گذاري هامون صبا,19348717261145458,IRO3HAIZ0001,56 
وبصادر2,بانك صادرات ايران,19382635978639373,IRO1BSDR0002,57 
كفپارس,فرآورده‌هاي‌ نسوز پارس‌,19471788163911687,IRO1NSPS0001,54 
وزمين,بانك ايران زمين,19954896371640204,IRO7ZMNP0001,57 
دكيمي,كيميدارو,20024911381434086,IRO1KIMI0001,43 
وسالت2,بانك قرض الحسنه رسالت,20383342576231559,IRO7SALP0002,57 
كنور,توسعه معدني و صنعتي صبانور,20411759370751096,IRO1KNRZ0001,13 
بنيرو,نيروترانس‌,20453828618330936,IRO1NIRO0001,31 
غشهد,شهد ايران ‌,20487994977117557,IRO1SHAD0001,42 
كسرام,پارس‌ سرام‌,20560887114747719,IRO1PSER0001,54 
شپديس,پتروشيمي پرديس,20562694899904339,IRO1PRDZ0001,44 
نيان,نيان الكترونيك,20652241232631918,IRO3NIAZ0001,26 
تاپيكو2,س. نفت و گاز و پتروشيمي تأمين,20716645758210848,IRO1PTAP0002,44 
فاراك,ماشين‌ سازي‌ اراك‌,20865316761157979,IRO1MARK0001,28 
ثتران,سرمايه گذاري مسكن تهران,20926459161497908,IRO3PMTZ0001,70 
فسديد,لوله‌وتجهيزات‌ سديد - ورشكسته,20966291817819448,IRO7LSDP0001,27 
سغدير,توسعه سرمايه و صنعت غدير,21096748051392414,IRO3GHIZ0001,53 
غنيلي,مجتمع توليدي نيلي صنعت كرمان,21426277483799140,IRO5NSKS0001,42 
حآفرين,ريل پرداز نو آفرين,21432551703060846,IRO3RPAZ0001,60 
شغدير,پتروشيمي غدير,21772258644715569,IRO1PGDR0001,44 
بموتو,موتوژن‌,22086876724551482,IRO1MOTJ0001,31 
وپست,پست بانك ايران,22087269603540841,IRO1BPST0001,57 
درازك,دارويي‌ رازك‌,22255783119783047,IRO1DRZK0001,43 
استقلال,استقلال,22259718159702272,IRO7ESLP0001,93 
حتوكا,حمل‌ونقل‌توكا,22260326095996531,IRO1HTOK0001,60 
كوثر,بيمه كوثر,22275596386264204,IRO3BKSZ0001,66 
تفارس,تامين سرمايه خليج فارس,22276798221643766,IRO7PGOP0001,67 
غگل,گلوكوزان‌,22299894048845903,IRO1GCOZ0001,42 
